Epc=   5, Train ADE,FDE = (3.140, 5.780) | time = 35.3
Epc=   5, Train ADE,FDE = (3.006, 5.546) | time = 34.7
Epc=  10, Train ADE,FDE = (3.004, 5.554) | time = 34.7
Epc=  15, Train ADE,FDE = (2.681, 4.942) | time = 34.6
Epc=  20, Train ADE,FDE = (2.795, 5.130) | time = 34.5
Epc=  25, Train ADE,FDE = (2.933, 5.491) | time = 34.6
Epc=  30, Train ADE,FDE = (2.875, 5.293) | time = 34.6
Epc=  35, Train ADE,FDE = (2.708, 5.092) | time = 34.5
Epc=  40, Train ADE,FDE = (3.037, 5.488) | time = 34.7
Epc=  45, Train ADE,FDE = (3.489, 6.391) | time = 34.4
Epc=  50, Train ADE,FDE = (2.782, 4.933) | time = 34.6
Epc=  55, Train ADE,FDE = (2.690, 4.946) | time = 34.6
Epc=  60, Train ADE,FDE = (2.659, 4.836) | time = 35.1
Epc=  65, Train ADE,FDE = (2.652, 5.399) | time = 34.9
Epc=  70, Train ADE,FDE = (2.591, 4.930) | time = 34.6
Epc=  75, Train ADE,FDE = (3.530, 4.327) | time = 34.5
Epc=  80, Train ADE,FDE = (2.193, 3.301) | time = 34.6
Epc=  85, Train ADE,FDE = (1.577, 2.480) | time = 34.4
Epc=  90, Train ADE,FDE = (1.261, 2.113) | time = 34.5
Epc=  95, Train ADE,FDE = (1.173, 2.022) | time = 34.6
Epc= 100, Train ADE,FDE = (1.221, 2.090) | time = 34.9
Epc= 105, Train ADE,FDE = (1.112, 1.936) | time = 34.4
Epc= 110, Train ADE,FDE = (1.008, 1.772) | time = 35.0
Epc= 115, Train ADE,FDE = (1.013, 1.820) | time = 34.5
Epc= 120, Train ADE,FDE = (1.119, 1.963) | time = 34.8
Epc= 125, Train ADE,FDE = (1.079, 1.906) | time = 34.6
Epc= 130, Train ADE,FDE = (1.283, 2.264) | time = 34.6
Epc= 135, Train ADE,FDE = (1.162, 2.072) | time = 34.5
Epc= 140, Train ADE,FDE = (1.310, 2.320) | time = 34.3
Epc= 145, Train ADE,FDE = (1.691, 3.060) | time = 34.7
Epc= 150, Train ADE,FDE = (1.049, 1.883) | time = 34.7
Epc= 155, Train ADE,FDE = (1.089, 1.990) | time = 34.8
Epc= 160, Train ADE,FDE = (1.314, 2.346) | time = 34.3
Epc= 165, Train ADE,FDE = (1.556, 2.796) | time = 35.0
Epc= 170, Train ADE,FDE = (0.974, 1.770) | time = 34.3
Epc= 175, Train ADE,FDE = (1.016, 1.847) | time = 35.0
Epc= 180, Train ADE,FDE = (1.051, 1.888) | time = 35.0
Epc= 185, Train ADE,FDE = (1.225, 2.145) | time = 34.8
Epc= 190, Train ADE,FDE = (1.127, 1.993) | time = 34.6
Epc= 195, Train ADE,FDE = (1.264, 2.199) | time = 34.7
