Epc=   5, Train ADE,FDE = (2.956, 5.464) | time = 34.6
Epc=  10, Train ADE,FDE = (2.816, 5.183) | time = 34.9
Epc=  15, Train ADE,FDE = (2.624, 4.825) | time = 34.7
Epc=  20, Train ADE,FDE = (2.404, 4.431) | time = 34.8
Epc=  25, Train ADE,FDE = (2.884, 5.310) | time = 34.7
Epc=  30, Train ADE,FDE = (2.918, 5.341) | time = 34.7
Epc=  35, Train ADE,FDE = (2.660, 4.886) | time = 34.7
Epc=  40, Train ADE,FDE = (2.663, 4.797) | time = 34.9
Epc=  45, Train ADE,FDE = (2.837, 4.585) | time = 34.8
Epc=  50, Train ADE,FDE = (2.514, 4.447) | time = 34.8
Epc=  55, Train ADE,FDE = (3.025, 5.126) | time = 35.1
Epc=  60, Train ADE,FDE = (2.585, 4.520) | time = 34.8
Epc=  65, Train ADE,FDE = (2.760, 4.827) | time = 34.8
Epc=  70, Train ADE,FDE = (2.712, 4.639) | time = 34.8
Epc=  75, Train ADE,FDE = (2.364, 4.054) | time = 34.7
Epc=  80, Train ADE,FDE = (2.537, 4.469) | time = 34.8
Epc=  85, Train ADE,FDE = (2.678, 4.637) | time = 34.8
Epc=  90, Train ADE,FDE = (2.849, 5.010) | time = 34.8
Epc=  95, Train ADE,FDE = (2.694, 4.869) | time = 34.8
Epc= 100, Train ADE,FDE = (2.738, 4.812) | time = 34.9
Epc= 105, Train ADE,FDE = (2.786, 4.828) | time = 34.8
Epc= 110, Train ADE,FDE = (2.876, 4.809) | time = 34.7
Epc= 115, Train ADE,FDE = (2.777, 4.912) | time = 34.8
Epc= 120, Train ADE,FDE = (2.856, 4.916) | time = 34.8
Epc= 125, Train ADE,FDE = (3.008, 5.237) | time = 34.7
Epc= 130, Train ADE,FDE = (3.423, 6.145) | time = 34.8
Epc= 135, Train ADE,FDE = (2.661, 4.652) | time = 34.8
Epc= 140, Train ADE,FDE = (3.838, 6.643) | time = 34.8
Epc= 145, Train ADE,FDE = (2.978, 5.117) | time = 34.3
Epc= 150, Train ADE,FDE = (2.585, 4.506) | time = 34.8
Epc= 155, Train ADE,FDE = (2.629, 4.556) | time = 34.3
Epc= 160, Train ADE,FDE = (3.334, 5.794) | time = 34.6
Epc= 165, Train ADE,FDE = (2.983, 5.482) | time = 34.2
Epc= 170, Train ADE,FDE = (2.413, 4.434) | time = 34.2
Epc= 175, Train ADE,FDE = (3.504, 6.286) | time = 34.4
Epc= 180, Train ADE,FDE = (2.630, 4.707) | time = 34.8
Epc= 185, Train ADE,FDE = (2.476, 4.203) | time = 34.2
Epc= 190, Train ADE,FDE = (2.482, 4.259) | time = 34.7
Epc= 195, Train ADE,FDE = (2.826, 4.572) | time = 34.6
Epc= 200, Train ADE,FDE = (1.592, 2.655) | time = 34.2
Epc= 205, Train ADE,FDE = (1.423, 2.399) | time = 34.1
Epc= 210, Train ADE,FDE = (1.193, 2.040) | time = 34.4
Epc= 215, Train ADE,FDE = (1.454, 2.529) | time = 34.7
Epc= 220, Train ADE,FDE = (1.254, 2.181) | time = 34.2
Epc= 225, Train ADE,FDE = (1.054, 1.861) | time = 34.8
Epc= 230, Train ADE,FDE = (1.135, 1.859) | time = 34.8
Epc= 235, Train ADE,FDE = (1.277, 2.248) | time = 34.3
Epc= 240, Train ADE,FDE = (1.045, 1.824) | time = 34.2
Epc= 245, Train ADE,FDE = (1.074, 1.802) | time = 34.8
Epc= 250, Train ADE,FDE = (1.107, 1.930) | time = 34.2
Epc= 255, Train ADE,FDE = (1.031, 1.819) | time = 34.4
Epc= 260, Train ADE,FDE = (1.008, 1.759) | time = 34.2
Epc= 265, Train ADE,FDE = (1.229, 2.034) | time = 34.3
Epc= 270, Train ADE,FDE = (1.003, 1.743) | time = 34.5
Epc= 275, Train ADE,FDE = (1.353, 2.263) | time = 34.4
Epc= 280, Train ADE,FDE = (1.046, 1.786) | time = 34.3
Epc= 285, Train ADE,FDE = (1.042, 1.835) | time = 34.4
Epc= 290, Train ADE,FDE = (1.112, 1.925) | time = 34.5
Epc= 295, Train ADE,FDE = (1.034, 1.800) | time = 34.3
Epc= 300, Train ADE,FDE = (0.964, 1.734) | time = 34.4
Epc= 305, Train ADE,FDE = (0.963, 1.709) | time = 34.3
Epc= 310, Train ADE,FDE = (1.073, 1.878) | time = 34.5
Epc= 315, Train ADE,FDE = (1.034, 1.826) | time = 34.8
Epc= 320, Train ADE,FDE = (1.025, 1.816) | time = 34.4
Epc= 325, Train ADE,FDE = (0.906, 1.669) | time = 34.3
Epc= 330, Train ADE,FDE = (0.946, 1.711) | time = 34.3
Epc= 335, Train ADE,FDE = (0.920, 1.659) | time = 34.7
Epc= 340, Train ADE,FDE = (0.862, 1.523) | time = 34.3
Epc= 345, Train ADE,FDE = (0.969, 1.741) | time = 34.6
Epc= 350, Train ADE,FDE = (0.879, 1.559) | time = 34.3
Epc= 355, Train ADE,FDE = (0.874, 1.583) | time = 34.7
Epc= 360, Train ADE,FDE = (0.993, 1.749) | time = 34.8
Epc= 365, Train ADE,FDE = (0.923, 1.662) | time = 34.5
Epc= 370, Train ADE,FDE = (1.028, 1.907) | time = 34.3
Epc= 375, Train ADE,FDE = (0.845, 1.573) | time = 34.7
Epc= 380, Train ADE,FDE = (0.957, 1.772) | time = 34.8
Epc= 385, Train ADE,FDE = (0.782, 1.424) | time = 34.6
Epc= 390, Train ADE,FDE = (0.807, 1.471) | time = 34.9
Epc= 395, Train ADE,FDE = (0.876, 1.579) | time = 34.7
Epc= 400, Train ADE,FDE = (0.797, 1.451) | time = 34.5
Epc= 405, Train ADE,FDE = (0.886, 1.643) | time = 34.5
Epc= 410, Train ADE,FDE = (0.824, 1.526) | time = 34.1
Epc= 415, Train ADE,FDE = (0.869, 1.595) | time = 34.8
Epc= 420, Train ADE,FDE = (0.842, 1.539) | time = 34.4
Epc= 425, Train ADE,FDE = (0.878, 1.630) | time = 34.6
Epc= 430, Train ADE,FDE = (0.915, 1.678) | time = 34.5
Epc= 435, Train ADE,FDE = (0.904, 1.662) | time = 34.4
Epc= 440, Train ADE,FDE = (0.853, 1.551) | time = 34.5
Epc= 445, Train ADE,FDE = (0.829, 1.516) | time = 34.7
Epc= 450, Train ADE,FDE = (0.837, 1.518) | time = 34.4
Epc= 455, Train ADE,FDE = (0.813, 1.468) | time = 34.8
Epc= 460, Train ADE,FDE = (0.790, 1.404) | time = 34.5
Epc= 465, Train ADE,FDE = (0.781, 1.392) | time = 34.7
Epc= 470, Train ADE,FDE = (0.804, 1.431) | time = 34.6
Epc= 475, Train ADE,FDE = (0.751, 1.350) | time = 34.9
Epc= 480, Train ADE,FDE = (0.776, 1.400) | time = 34.5
Epc= 485, Train ADE,FDE = (0.754, 1.345) | time = 34.3
Epc= 490, Train ADE,FDE = (0.775, 1.384) | time = 34.3
Epc= 495, Train ADE,FDE = (0.771, 1.384) | time = 34.5
Epc= 500, Train ADE,FDE = (0.741, 1.334) | time = 34.1
Epc= 505, Train ADE,FDE = (0.735, 1.344) | time = 34.3
Epc= 510, Train ADE,FDE = (0.733, 1.314) | time = 34.7
Epc= 515, Train ADE,FDE = (0.745, 1.347) | time = 34.8
Epc= 520, Train ADE,FDE = (0.746, 1.358) | time = 34.5
Epc= 525, Train ADE,FDE = (0.744, 1.350) | time = 34.4
Epc= 530, Train ADE,FDE = (0.730, 1.336) | time = 34.3
Epc= 535, Train ADE,FDE = (0.728, 1.328) | time = 34.6
Epc= 540, Train ADE,FDE = (0.711, 1.295) | time = 34.1
Epc= 545, Train ADE,FDE = (0.745, 1.349) | time = 34.7
Epc= 550, Train ADE,FDE = (0.704, 1.295) | time = 34.1
Epc= 555, Train ADE,FDE = (0.714, 1.307) | time = 34.4
Epc= 560, Train ADE,FDE = (0.700, 1.266) | time = 34.8
Epc= 565, Train ADE,FDE = (0.696, 1.271) | time = 34.6
Epc= 570, Train ADE,FDE = (0.697, 1.274) | time = 34.8
Epc= 575, Train ADE,FDE = (0.685, 1.253) | time = 34.1
Epc= 580, Train ADE,FDE = (0.699, 1.305) | time = 34.5
Epc= 585, Train ADE,FDE = (0.711, 1.317) | time = 34.2
Epc= 590, Train ADE,FDE = (0.714, 1.330) | time = 34.8
Epc= 595, Train ADE,FDE = (0.700, 1.281) | time = 34.3
Epc= 600, Train ADE,FDE = (0.682, 1.264) | time = 34.7
Epc= 605, Train ADE,FDE = (0.807, 1.490) | time = 34.7
Epc= 610, Train ADE,FDE = (0.718, 1.330) | time = 34.6
Epc= 615, Train ADE,FDE = (0.668, 1.237) | time = 34.3
Epc= 620, Train ADE,FDE = (0.756, 1.392) | time = 34.2
Epc= 625, Train ADE,FDE = (0.650, 1.203) | time = 34.4
Epc= 630, Train ADE,FDE = (0.720, 1.297) | time = 34.7
Epc= 635, Train ADE,FDE = (0.667, 1.200) | time = 34.6
Epc= 640, Train ADE,FDE = (0.636, 1.178) | time = 34.4
Epc= 645, Train ADE,FDE = (0.653, 1.183) | time = 34.4
Epc= 650, Train ADE,FDE = (0.716, 1.336) | time = 34.7
Epc= 655, Train ADE,FDE = (0.657, 1.207) | time = 34.6
Epc= 660, Train ADE,FDE = (0.653, 1.178) | time = 34.5
Epc= 665, Train ADE,FDE = (0.668, 1.207) | time = 34.6
Epc= 670, Train ADE,FDE = (0.653, 1.201) | time = 34.4
Epc= 675, Train ADE,FDE = (0.690, 1.249) | time = 34.8
Epc= 680, Train ADE,FDE = (0.663, 1.204) | time = 34.6
Epc= 685, Train ADE,FDE = (0.633, 1.149) | time = 34.8
Epc= 690, Train ADE,FDE = (0.645, 1.182) | time = 34.3
Epc= 695, Train ADE,FDE = (0.620, 1.116) | time = 34.8
Epc= 700, Train ADE,FDE = (0.656, 1.204) | time = 34.1
Epc= 705, Train ADE,FDE = (0.622, 1.118) | time = 34.7
Epc= 710, Train ADE,FDE = (0.636, 1.140) | time = 34.5
Epc= 715, Train ADE,FDE = (0.613, 1.092) | time = 34.6
Epc= 720, Train ADE,FDE = (0.621, 1.128) | time = 34.6
Epc= 725, Train ADE,FDE = (0.622, 1.139) | time = 34.3
Epc= 730, Train ADE,FDE = (0.606, 1.103) | time = 34.3
Epc= 735, Train ADE,FDE = (0.601, 1.082) | time = 34.4
Epc= 740, Train ADE,FDE = (0.613, 1.112) | time = 34.2
